"id"	"institute"	"town"	"socken"	"harad"	"diocese"	"shape"	"year"
"NM12700"	"Nordiska museet"	"Dalarna"	"Sollerö"	""	"Dalarna"	"paddle"	"1686"
"NM13767"	"Nordiska museet"	""	""	""	""	""	""
"MK285"	"Munktorps kyrka"	"0"	"0"	"0"	"0"	"sword"	"1705"
"NM17309"	"Nordiska museet"	"Dalarna"	"Sollerö"	""	"Dalarna"	"paddle"	"1674"
"NM14304"	"Nordiska museet"	"Dalarna"	"Venjan"	""	"Dalarna"	"paddle"	"1643"
"NM29949"	"Nordiska museet"	"0"	"Älvdalen"	""	"Västerås"	"paddle"	"1674"
"NM87273"	"Nordiska museet"	"0"	"0"	"0"	"0"	"staff, octagonal"	"1637"
"NM104224"	"Nordiska museet"	"0"	"Undersåker"	""	"Jämtland"	"paddle"	"1740"
"NM78506"	"Nordiska museet"	"0"	"0"	"0"	"Stockholm"	"sword"	"1895"
"NM5079"	"Nordiska museet"	"Värmland"	"Rämmen"	"Färnebo härad"	"Skara"	"square"	"1718"
"NM155830"	"Nordiska museet"	"0"	"0"	"0"	"0"	"paddle"	"0"
"NM198989"	"Nordiska museet"	"?Norway / Härjedalen"	"0"	"0"	"Norway / Härjedalen"	"paddle"	"0"
"NM174998"	"Nordiska museet"	"0"	"0"	"0"	"0"	"paddle"	"0"
"NM174997"	"Nordiska museet"	"Dalarna"	"0"	""	"Dalarna"	"paddle"	"0"
"NM174996"	"Nordiska museet"	"Dalarna"	"0"	""	"Dalarna"	"paddle"	"0"
